,review_comment
15,  Lost my luggage for 4 days while trying to move into college. Has all of my belongings. Was told To go buy the everything I needed while my luggage was missing. I did. Now they refuse to cover any of my expenses! Implied that I was lying about my luggage missing. Obviously I have several calls with American regarding this matter. It’s unbelievable on how unprofessional and non customer friendly they are. I will never fly them again. 
16,"Not Verified | Puerto Rico to Heathrow via Charlotte. American Airlines planes are great, shame about the staff. Very rude to passengers, when you ask a question you will be told: “I was actually on my break""! Food was not great for a long flight. Totally spoiled the holiday, I will avoid in future. "
17,"Not Verified |  Worst customer service. When we got to Punta Cana airport my partner asked the attendant in the front desk if we could change the seats. This is already annoying as months back when we booked the flight, we chose seats together. They said the flight was full so they wouldn’t be able to do that. We notice the entire four rows of the back of the plane were empty. Once doors closed we asked again one of the flight attendants if we could sit together on the empty seats, she rudely responded no. Let’s not forget this is almost a four hour flight were they offer you nasty cookies and to top off the flight attendants were incapable of serving drinks without spilling them. The attendant spilled ice all over the side of my arm and another lady got a whole soda spilled on her. American Airlines step up your game. You already have one of the most uncomfortable seating accommodations for planes and to top it off your customer service is trash."
18,"Not Verified |  Charleston to Washington. This is, time and time again, the worst airline I have ever been on. Not only is the staff extremely disrespectful, the plane is late every time. For the past 7 flights I have unwillingly taken with American, every one has been delayed. They are unprofessional, not punctual, and unaccommodating. The only positive thing about American Airlines is that they are cheaper. I do not recommend this airline."
19,"Not Verified | Indianapolis to Palm Springs via Dallas. This is not a review of a specific flight. It is about the company’s complete lack of customer service. I have been flying American Airlines my whole life and it is appalling how they mishandle every simple detail of what it requires to make your experience at least bearable. The website is unintelligible. My husband is dying of cancer and they said it would cost $2200. to transfer his 168,000 miles to my account. I have now been on hold for 20 minutes trying to book award travel."
20,"Not Verified |  Cedar Rapids to Miami. Left Cedar Rapids on the 6:50 am flight, spent 45 minutes at the check in counter with a lady that was incompetent. Barely made to the gate in time to get on the plane. Got to Charlotte and boarding passes were all screwed up. spent an hour at customer service desk trying to get tickets fixed to get on the next plane. Barely made that flight and got to Miami and they told me they forgot to take my bag off the plane. Told me they would get hot right away and deliver it to the hotel. When I got to the Hotel and told the counter gal that they would be bringing my bag she laughed and said AA is the worst, they see this at the hotel all the time and that they probably would never deliver my bag. Checked and AA said that it was picked up by a driver at 3:27 and I would have it by 7:27. Checked at 7:30 and it said that it was picked up at 7:27 and I would see it by 9:00 pm. Called the 800 # and they had a terrible attitude and said I should see it within 12 hours. Said the driver probably had a medical Emergency. Stay away. No regard for customer service. These people don't care."
21," London to New York JFK. A trip of contrasting flights - outbound was rammed full. I was sat in the middle aisle of 4 and the experience was sub-Ryanair. Zero space, zero comfort. As compensation IFE was good. Food was dreadful. Return leg, much lighter load and I secured the economy travellers’ holy grail of 4 seats to myself - economy business come on down! I got this flight very cheaply on a basic economy basis, no bags, no seat selection. I would have paid to choose a different seat, but non-US credit cards are not accepted on the app which is a bit rubbish!"
22,  San Francisco to Los Angeles. I was made to check in my hand luggage for no apparent reason in a rude and unprofessional manner! Their planes are old and the service below zero. Never fly with them.
23,"  Milwaukee to Cedar Rapids via Chicago. My son flew home from college in December then back to college today. Both times were with American and both times we had issues. When he flew out of Cedar Rapids there was a huge delay because of mechanical issues, which caused him to miss his connecting flight in Chicago, so instead of getting in at 8pm he got in at almost midnight. This time on his way out of Milwaukee they overfueled the plane causing a delay making him miss his connecting flight in Chicago. When he got in to Chicago the American Airlines employees would not help him. They gave him the latest flight to Cedar Rapids meaning he has to sit around for over 8 hours. Not his fault that again they messed up and had issues. They didn't offer him vouchers for food or try to get him on a different airline to Cedar Rapids. When Customer Service was called by me, they wouldn't help. A simple call to get my kid taken care of in some way. Such a hassle for literally a 30 minute flight. Plus I had to sit on hold for over 30 minutes waiting for them to answer. We will not use American Airlines again."
24," The absolute worst. Had a connecting flight from Dallas, Texas to Narita, Tokyo. It was originally delayed because of some cart issue that couldn’t push the plane away from the gate. Then delayed due to a paperwork issue. Then delayed waiting for the mechanic to come on board to check the nose wheel so the aircraft was safe for takeoff. Then cancelled because the forward landing gear was damaged and wasn’t safe to fly. The staff was less than pleasant to the passengers, and they couldn’t rebook any passengers at the counter until we arrived in Narita past 10 pm because no flights depart Narita past 10 pm. So now this results in overnight in Tokyo because connecting flights aren’t even available. Every time I’ve flown with AA I’ve had either 5+ hour delays or cancellations. This is one of the most atrocious airlines I’ve ever experienced, and I’ve been a flier with AA for the past 10+ years. I’m done with this airline for the rest of my life. Infuriating."
25," Peoria to Dallas with American Airlines. This airline allows 50 pounds maximum on each bag. My one bag had 45 pounds while the other had 53 pound.s They could have allowed this bags. But I was told to transfer 3 pounds to other bag to balance the 50 pounds. It took me 5 min and I have to miss my flight. I had to wait for 9 hours for next flight. Mean while my original flight was day before and got cancelled due to bad weather. My whole experience was pathetic and due to their baggage policy it got worse. I always go for Southwest, but they don't come to Peoria."
26,  Miami to La Guardia. Worst experience ever. My baggage has been lost and no one is taking responsibility.No one knows what there job is it’s all about money they dont care for your security or luggage highly not recommended.
27,"  Omaha to Lihue via Los Angeles. American has lost any sight of customer service. It's bad enough our flight was delayed, and once we were inflight and had to turn around for mechanical issues, they made no attempt to help customers get rebooked when we landed. The gate agent was the rudest, most inept person I've seen - and I fly a lot for business. I had to call American and had someone help me on the phone - he said I needed to return to gate agent to finish the rebooking, the agent screwed up and our luggage didn't get switched. I specifically asked him to make sure he did a luggage transfer. As if that wasn't bad enough, AA couldn't locate our lost luggage the next day. We filed reports online, and our bags showed as at the Lihue airport; but they couldn't find them. The lack of customer concern was astounding - we traveled to Hawaii from Nebraska and they had zero since of care or urgency. We called the AA lost baggage line and they said repeatedly the bags weren't located. We finally went to airport again, went into the American baggage office and all the bags were just sitting there. We showed the clerk our luggage tags, assuming she'd want to check off her list that we took our luggage, but she wasn't interested. Hours later, I received a phone call from AA luggage, asking for my claim numbers etc and to discuss our luggage. They didn't want to use any process when we were standing there but wanted to interrupt my vacation to talk paperwork. I'm not surprised you are losing customers, getting low ratings etc. You should be embarrassed about how we were treated."
28,  Philadelphia to Kansas City. Airline was late to arrive at airport - due to mechanical issues .. seems to be a very common occurrence as it has happened several times in the last 12 months. After departure we flew for 2 hours to reach the destination only to be told that they could not land due to weather. So they routed us back to the origination. Yes another 2 hours. Only to be told that they would not comp meals or hotel because it was a weather related issue. Flight crew and gate agents could have cared less. I fly every month and this airline is in trouble!
29,"  Los Angeles to London. The airplane toilets were out of order causing long queues. Although there were seats available for my husband and I to sit together, they sat us apart demanding that we pay $120 extra for the isle seat near the toilet where the queue for the toilet was. Completely unacceptable, airline trying to make max profit by separating a family. Uncomfortable seats, below average quality food."
30,Not Verified |  Miami to Philadelphia. Worst airline experience ever! Flew them to the destination and back. The party that was traveling together got split up. They refused to assign our seats together. Then I was 3 pounds overweight on my check in bag and they charged me an additional $100 on top of the $30 that I paid to check it in the first place. Airline is nothing but a money grubbing business that does not care about its customers. I will never fly American Airlines again. Staff were constantly rude and seemed annoyed to answer questions. Chose another airline if you have the option.
31,"  Salt Lake City to Dallas Ft Worth. Our flight was supposed to depart Salt Lake at 1:39. It was delayed until 5:30 because of mechanical issues and then the crew had to be swapped out because of the pilots hours and a new crew had to be located and flown in to fly the plane. On the original part of the trip, this same thing occurred leaving Dallas to Salt Lake and we were two hours delayed, but that crew was able to switch planes with us. I will never fly American again. They are zero for two of my experience. They don’t even appear bothered by it as it seems they are used to this type of problems."
32,"Not Verified |  Salt Lake City to Dallas Ft Worth. Worst airline ever. Delayed from 1:40 until midnight. originally delayed until 6:30. We boarded the plan and were promptly told there were no pilots or flight crew, and were forced to deboard, where we received a delay until midnight, where they couldn’t even guarantee that we’d have a plane to board. Every time I’ve flown American, there has always been a problem. Don’t fly with them, because they don’t value your time."
33," Cleveland to Philadelphia via San Juan. Worst first time experience, not recommended. Bad attitude from the ladies upfront. They lied and fooled me. I was unaware that they had put me on a standby. My son had just passed away. They didn't make me aware. They told me I would fly on the next flight, they lied. They gave it to someone else even though I had been waiting for so long. I started getting panic attacks and I didn't have any medication with me. I would get to final destination at 3am with no one to pick me up. I was lost for words, I couldn't believe it. I know my family and friends will never cross paths with American Airlines again."
34," First, I would like to make note of the flight attendants. We had two really great and humorous flight attendants who did what they could to make our interactions enjoyable. However, I will avoid flying with this airline in the future for the following reasons: 1) Seating. They will not seat you with your family or friends unless you purchased this option. You will likely be separated from them, even if you purchased tickets at the same time. 2) No online check-in. Despite the terms saying that you can check-in online 24 hours prior to flying (where you supposedly can arrange seats on international flights), this is not allowed for international flights. I attempted to log-in multiple times the day before flying and calling the airline, but wait times were over an hour. I spoke to other passengers who also were unable to check-in online before the flight and this experience was the same. 3) The food is not good. I ordered the Asian-vegetarian meal in advance which normally means on the Atlantic US flights that you'll get Indian food. The rice was undercooked and it was so incredibly spicy my stomach hurt. 4) The flight attendants weren't working. Despite my positive interactions with the flight attendants, I saw them taking a lot of breaks. The airline had blocked the entire back middle row (4 seats across). I understand they need breaks, however, I have never seen flight attendants reading and watching films. Shouldn't these seats be available to the passengers? Not once did I see them walking around offering beverages during the pauses in between meals. 5) The seats are awful. I got stuck in the seat in front of the bathroom on the side. This seat barely reclines and the seat in front of me was broken and the woman left her seat reclined the entire time, so I was unable to properly view the screen or have much space to move."
35,"Not Verified |  LaGuardia to Savannah. I had seats reserved along with 5 other active duty military members, yet we were kicked off because “there weren’t enough seats” for everyone. We waited for about 2 hours for them to tell us what would happen next. They couldn’t give us a voucher for another flight at another airport for the same day, when we had orders to be back the same night. Instead, we were given separate tickets for early the next morning at 5:55, onto another connecting flight which would not arrive at our destination until 2 pm. Stay away from this airline as even I thought all of the other reviews were exaggerated about this place."
36,"Not Verified |  Worst airline experience consistently over the past years. You cannot preselect seats unless you pay for them on international flights. They randomly assign seats apart from each other when you booked the tickets together, and the only way you can get seats together before getting to the gate is to pay online for assigned seats. We arrived at Philadelphia airport and the luggage’s took 45 minutes to come out. All in all, AA’s service has really gone down hill in the past years while their profit sore."
37,"Not Verified |  I booked a reservation for 3 passengers. Being an AAdvantage member the price includes 3 bags for the travelers. Unfortunately, I misspelled my wife's first name. I called American Airlines and they created a new and separate reservation for wife. They also charged my wife for baggage and told me there was nothing they could do about it but I should request a refund after the trip and it would be granted. When I requested the refund it was denied without explanation. I will never fly American again. Beware of false promises. Flight to Newark was also delayed an hour due to a co-pilot emergency and ground crew leaving site for another flight."
38,"  I had a two hour delay in Atlanta that caused me to miss my connecting flight to Virginia. I then had a 3 hour layover in North Carolina, once it was finally time to get on my next flight it was delayed 15-30 mins. I finally got on my flight to Virginia and once I landed I went to get my bag. They lost it in transit. I spoke to a gentlemen at American Airline baggage claim and he told me he needed a baggage ticket, I informed him I never received one. He then told me well you should have. Then he said he has know clue where the bag is, come to find out it was in the airport and now I have to wait for the next day in order to get my bag."
39,"Not Verified |  Guadalajara to Washington Dulles. It was mid morning/day and I bought a fragile small statue of baby Jesus. I had 2 of them. Then when I got back home and I opened the package with bubble wrap it was broken. it’s American’s fault because they probably throw the luggage very hard into the cargo.  I have a baby and we went to the baggage claim and we were waiting and waiting a long time because we got everything except the car seat. So we went to the oversized baggage center and apparently when the car seat came out it was broken. Plus they didn’t put a plastic wrapping on on it. The last time I flew to Phoenix, Arizona I flew with Frontier Airlines and when I went to the baggage claim to pick up my car seat for my baby it did have that plastic wrapping so it could protect it."
40,  The review is 1 in a scale from 1 to 10. The people who answer the phone do not care about the clients at all. They charge for a change in a flight $300 plus a lot of more money. I find very insensitive the personnel and primary the policy of American Airlines. I will not use this airline any longer when I buy a ticket. There are many other airlines who have a heart and care about their passengers.
41,"  Salt Lake City to Los Angeles. American airlines is the worst airline, they changed my flight twice even before getting on the plane. Then canceled my flight home leaving me with one lost day of vacation and not being able to use my paid hotel and rental car. When I asked for any accommodation they said no,vthis happens all the time"
42,"  Phoenix to London with a very short layover in Dallas. I was really stressed about the short connection time. I approached the gate attendant and asked her if she could find me a seat closer to the front. She ignored my question and said “your roller bag cannot fly!”. I always fly with this roller bag. The bag was indeed about an inch too tall, but she would not budge. She said it would be $186 to check it. Absolutely unbelievable. I asked for a supervisor, and the sup, was even more insulting. Her explanation was “it’s a business!” I ended up having to ditch the roller bag and some clothes to pack my stuff in a smaller bag I purchased. They only care about money. They couldn’t care less about your experience."
43,"  Phoenix to Guayaquil via Dallas. Traveling to Ecuador from Phoenix through a connection in Dallas with my husband to see my sick father in-law. First we arrived to the airport in Phoenix super early just in case there was long lines but checkin went very smooth but after that everything went wrong. As we are waiting for the flight we get multiple notifications that our flight is being delayed. After the fourth delay notification we went to customer service to see what the issue was and if we were going to make our international connection. After talking to them for a while, we found out the plane was late leaving LA due to a baggage problem and after them contacting the POC it was decided to try the flight to Dallas in hopes that for some reason the our international flight was delayed, due to the time of year, that we might be able to make it and if not we were told that they would rebook us to the next flight, which was the following night, and they would get us a hotel on them. We tried and took the delayed flight to Dallas on their recommendation. Unfortunately we missed our international flight so we went to customer service now in Dallas as we were told to do in Phoenix and were told that they were going to give us nothing! The customer service employee was the rudest, least helpful person I have every met. She said that the flight was delayed due to bad weather in Phoenix (which was not true plus we were told it was a baggage problem in LA that caused the delay) and that since it was a weather problem they are not responsible to give us anything. We explained to her what we were told in Phoenix that if we missed the flight due to their delay we would get a hotel and meal vouchers since the next flight to Ecuador was not for another 24 hours. She told us it was not her problem and that she could give us a number to call for discounted rates for a hotel or send us back to Phoenix. So now my husband and I are stuck in Dallas for 24 hours with nothing. Not even our bags because since our final destination was not Dallas the bags were put in a storage room to be put on the Ecuador flight the next evening. We left the terminal basically in tears because we dont have any money for a hotel or anything because we have been scraping and saving money for this trip. We went to the baggage people to see if by chance we could get our bags to at least change clothes or brush our teeth since everything was in our checked bags. The workers there were very nice and said that is was not right and sent us to another person who eventually gave us a hotel and meal voucher. Our flight from Phoenix landed at 6:00pm. The missed flight to Ecuador took off at 5:35pm. By the time anything got resolved and after being sent to different people, we got a hotel at 1:00am. The other people we talked to, baggage claim and eventually upper management were all very nice and understanding, but Charo, who's title is customer service was less then worthless and rude. All we wanted was what were we told we would get after taking their recommendation to still take that flight instead of being rerouted another way. And to be told that it was not her problem after paying $2000.00 for this trip to now missing a flight due to their delay and missing an entire day with an ailing family member; I have never felt so defeated and just lied too."
44,"Not Verified |  So after a mistake that AA made after a canceled flight, I was given a travel voucher to refund my money (only have about 10 hours of contacting customer service). I've used an evoucher before, so I assumed that's what they would send me this time. Instead, I receive a paper voucher that can only be used via the phone, or directly at the airport itself 12 days in advance. Please tell me - who comes to the airport 12 days in advance to buy a ticket? (when you can easily/more cheaply by online). And you would have to pay me to spend any time on the phone with AA trying to make a reservation over the phone). So I basically lost $250 dollars, as using the voucher for toilet paper is about as useful as their paper travel vouchers are. After being a loyal customer for 10 years, I am done with this airline!"
45,"Not Verified | Charlotte to Buffalo. Awful! I will never fly American again. They had us sit in their cabin for almost 40 minutes, caused us to almost miss our connecting flight home and then proceeded to lose our luggage. Fly Southwest - they are much better!"
46,Not Verified |  Dallas to Columbus. We have been at airport for over an hour at 11 pm and there are 5 American flights all at the same baggage claim and all been waiting at least 45 minutes for bags to arrive. When we arrived at airport there was no ground crew to guide us into gate. Complete mismanagement and disorganization from American Airlines.
47,"  Grand Rapids to Chicago. This airline is not for their customers, or the military. They will make false promises and scam you out of your money. If you fly with them, get insurance on your tickets. They have no customer service, and those you may speak with are rude, demeaning, impatient, and do not want to help you. This has been the case for my last several flights. Additionally, they work on their time, not yours. Do not expect any information, or to make a flight, if you have to depend on their assistance."
48,"Not Verified |  Atlanta to Dallas. Our flight was at 6:45 in the morning we arrived at the airport at 4:45. When we walked to checkin it was too confusing. There were kiosks where you would get the tags to your bag then there was bag drop. None of it made sense. We had a problem where our tickets were booked separately and we had 6 bags for five people which is pretty good for my family we could only check 5 for some dumb reason. We took about an hour figuring this out then got to security for 15 minutes then got to our gate, when we got there we had a stroller for the baby and the staff were confusing us on what to do even when knew what to do. The one time I got a window seat there was no window and I was in the center of the plane. They only had the biscof cookies and nothing else. I would definitely try to avoid this airline."
49,  American Airlines sold my seat after their connecting flight was delayed. My son and I approached as they were shutting the door before the actual flight time. They said you missed it and put me on a flight 5 hours later. I had paid for assigned seats and earlier entry but the second flight was separated from my son and last on the plane. When I filed a complaint they said sorry you didn't like it but that is all we are gonna do. Fly another airline.
50,"  Ontario to Phoenix. I’m traveling back to work from home as I was home on holiday. I get to the airport which was enough of a disaster, and I get through security about 20 minutes prior to my boarding time. I get to my gate, take a seat, and prepare for my flight as I have several today. I’m sitting at my gate as I write this out. Everyone is here at the gate, prepared to board and out comes an announcement from our gate. “Attention to all passengers boarding this flight, we cannot board anyone on this plane until all crew members are present. It’s written in their contract. There’s a flight attendant missing and she won’t be here for another 45 minutes, please bear with us.” Are you kidding? You announce this at 0530, our boarding time. Shouldn’t be that hard to be here on time for people who literally paid to get on this flight at 0530. Not to mention the terrible customer service in general, uncomfortable riding conditions, and the overall trash that is American Airlines. Will not be flying American ever again."
51,"  Denver to Fort Myers via Dallas. I strongly regret flying with American Airlines who perform poorly in every aspect. Worst of all, their employees do not care one bit.  I regret that I did not see all the negative reviews before booking. I know that I will never fly with this miserable company again."
52," The seat was hard as a rock. Checked in in plenty of time. Luggage missed the plane because ""short-handed"". Turned over to lost and found. Suitcase meant to be at 3.30 PM and then by 8.30 PM. Don't know when now."
53,  Albuquerque to Huntsville via Dallas Ft Worth. Travelling during holiday season for a funeral - i think i could have gotten better service from a machine. To the attendent who was at b26 dfw for the 8.47 pm flight from dfw to hsv on 12/30/2019 yo need a heart. The ABQ to DFW flight was delayed. I was at the gate at 8.37 running across terminals to get to the funeral next day. Staff did not have the courtesy to greet me - ignored me. When I told you that I am on this flight you told me that you had to close the gate in 30 secs. Staff dismissively said to go to the customer service desk. 
54,"Not Verified |  Worst air travel experience I have ever had. We took a flight from SEA to AVP airport with a stopover in PHL. The flight from SEA landed 20 minutes late, only allowing us 10 minutes to catch our connecting flight. We arrived 2 minutes after boarding was closed. I overheard other passengers expressing call concerns of missing their connecting flight, the flight attendant told them 35 minutes would be plenty of time to get to your connecting flight, however we didn't get 35 minutes because we were in the back rows, we had 10 and weren't able to make it from Gate A to F at PHL. When we went to ""customer service"" they advised that the only other available flight they had was to some airport I was unfamiliar with, 15 hours later. As I was on a schedule, that was not an acceptable solution to AA's mistake so I was forced to rent a car and bear the inconvenience of driving to my destination. I have filed a complaint on their website however the only response I've been able to get is from their Twitter, which hasn't been much help either. The customer service running their social media refunded me a pathetic $80 or something like that. I continued to flood Twitter so someone in customer relations  called me to discuss my experience. She was completely worthless as well. All she did was explain their policy. I did get $200 in vouchers for a future flight, but unfortunately I have to fly with AA so I will probably sell them at a fraction. Somehow it's against company policy to refund $80 more but whatever. I ended up disputing the difference with my credit card company and got it back. Avoid this company at all costs!"
55,"Not Verified |  Very disappointing trip. Started Dec 23 with a 2 hour delay that left me missing my connecting flight in Dallas/Fort Worth to not arrive at my final destination until 12.56 am the next morning when I was to arrive at 8pm initial day. Then when trying to fly back Dec 29, due to mechanical difficulties, my 7.56 pm flight gets delayed until 6am the next morning which causes me to miss work the next day as American Airlines cannot get me to any airport to get a connecting flight until mid morning. Not happy and feel that American Airlines will not be my airline of choice for any future flights as you cannot make any plans until you know you have landed."
56,"  Dallas Ft Worth to Wichita. I will never fly AA again. After what is the fifth hour of delays, switching aircraft three times on one set of flights to and from our vacation, all after the planes loaded and significant waiting time while loaded, to be unloaded and ridiculously delayed, moved to different planes, they are truly an atrocious business. I have never had good experiences with American and these last two flights have been the last straw in a burning bale of hay with this airline. I will be paying more money or taking longer flights to avoid all future travel and encourage others to do the same until America gets it’s act together."
57,"Not Verified |  Took 7.5 hrs to “find” 4 bags. We never left the airport .. we got there on time for a departure to Dallas, TX. We were delayed an hr due to weather but then boarded the plane. After a little over 2 hrs, we were then forced to deplane because the pilot’s hours were timed out. We received help pretty quickly and were told to pick up our bags for baggage claim. We then waited for over 3 hours to be told over and over again that our bags were coming shortly. My husband and I finally gave up and went to eat. We came back a couple of hours later (around 9:45pm-10pm) and our bags weren’t there. The excuse that they originally gave us was that there were only 2 people unloading planes because of a shift change and they were doing on-time flights as a priority .. it’s not like anyone can control the weather and the circumstances that follow after bad weather. After a ridiculous amount of hours waiting, we finally got our bags. We were never offered any kind of upgrade or anything for our wait time. Ridiculous service. We will never fly American Airlines again."
58,  I am traveling for the first time with my service dog. My flight from Dubuque to Chicago and Seattle was cancelled due to fog. The service attendant Andrew was so helpful to me. He was able to get me scheduled on later flight to Chicago and then Alaska Airlines from Chicago to Seattle. TSA was also very helpful. Thank you all for your care.
